,Address,Fire.alarm
915,1100 block henderson st  at oak st,1
916,1100 block herald pl  at n franklin st,2
917,1100 block herkimer st  at pharis st,1
918,1100 block herriman st  at grand av,1
919,1100 block hiawatha blvd e,1
920,1100 block hiawatha blvd e  at,1
921,1100 block hiawatha blvd e  at first north st,1
922,1100 block hiawatha blvd e  at lodi st,1
923,1100 block hiawatha blvd e  at n salina st,1
924,1100 block hiawatha blvd e  at seventh north st,1
925,1100 block hiawatha blvd w,4
926,1100 block hiawatha blvd w  at erie blvd w,1
927,1100 block hiawatha blvd w  at pulaski st,2
928,1100 block hiawatha blvd w  at state fair blvd,2
929,1100 block hiawatha blvd w  at van rensselaer st,1
930,1100 block hiawatha blvd w from eb i 690  at eb i 690,1
931,1100 block hickory st  at catherine st,1
932,1100 block hickory st  at n mcbride st,1
933,1100 block hickory st  at n townsend st,1
934,1100 block highland st,5
935,1100 block highland st  at graves st,1
936,1100 block highland st  at oak st,1
937,1100 block highland st  at wilkie pl,1
938,1100 block highland st st  at graves st,1
939,1100 block hudson st  at rich st,1
940,1100 block hurlburt rd  at meadowbrook dr,1
941,1100 block irving ave,4
942,1100 block irving ave  at harrison st,2
943,1100 block isabella st  at union pl,1
944,1100 block james st,45
945,1100 block james st  at cook av,1
946,1100 block james st  at lodi st,1
