,Address,Fire alarm
709,1226 E WATER St,2
710,1226 LANCASTER Ave,5
711,1227 BELLEVUE Ave,1
712,1227 MILTON Ave,1
713,1228 S GLENCOVE Rd,1
714,1229 GLENWOOD Ave,5
715,1229 TEALL Ave,1
716,123 BRACE St,1
717,123 CORNELL Ave,1
718,123 DURSTON Ave,1
719,123 E WATER St,1
720,123 GREENLAND Dr,1
721,123 LARNED St,1
722,123 MALCOLM St,1
723,123 MCLENNAN Ave,1
724,123 OAKDALE Dr,5
725,123 PECK Ave,1
726,123 POLK St,1
727,123 RICHARDSON Ave,3
728,123 TYLER Ct,1
729,123 VILLAGE Dr,1
730,123 WHITTIER Ave,2
731,123 WOODRUFF Ave,1
732,1233 N GLENCOVE Rd,2
733,1234 JAMES St,8
734,1237 E GENESEE St,1
735,124 BERWYN Ave,1
736,124 DELL St,2
737,124 ELMHURST Ave,4
738,124 FOUNTAIN St,1
739,124 GERTRUDE St,1
740,124 LAWRENCE St,2
741,124 MARTIN LUTHER KING W,3
742,124 MCLENNAN Ave,2
743,124 MILDRED Ave,1
744,124 NIVEN St,1
745,124 PERSHING Ave,1
746,124 WADSWORTH St,1
747,1242 COURT St,2
748,1244 COURT St,2
749,1244 WADSWORTH St,2
750,125 COOK Ave,1
751,125 DIDAMA St,1
752,125 E JEFFERSON St,5
753,125 EUCLID Ave,1
754,125 GEBHARDT Ave,1
755,125 GREEN St,1
756,125 HARTSON St,1
757,125 HATCH St,1
758,125 LAMSON St,1
759,125 MARY St,1
760,125 ONONDAGA Ave,2
761,125 S CARBON St,1
762,125 TOWNSEND Pl,1
763,125 WARHAM St,2
764,125 WILLUMAE Dr,1
765,1250 WADSWORTH St,2
766,1254 WESTCOTT St,1
767,126 BRYANT Ave,1
768,126 BUNGALOW Ter,1
769,126 DELRAY Ave,1
770,126 FAIRFIELD Ave,1
771,126 FAIRVIEW Ave,1
772,126 GRUMBACH Ave,1
773,126 HARTSON St,1
774,126 HOPE Ave,1
775,126 JAMESVILLE Ave,4
776,126 N SALINA St,2
777,126 PALMER Ave,1
778,126 PECK Ave,3
779,126 PUTNAM St,1
780,1265 W GENESEE St,4
781,1269 W GENESEE St,1
782,127 BRADFORD St,1
783,127 CADILLAC St,1
784,127 CHENEY St,1
785,127 CIRCLE Rd,1
786,127 EUREKA St,2
787,127 GENESEE PARK Dr,1
788,127 MARY St,1
789,127 MAURICE Ave,1
790,127 MINERVA St,2
791,127 NORMANOR Dr,1
792,127 SOUTH Ave,1
793,127 SPRINGFIELD Rd,5
794,127 STINARD Ave,1
795,127 W BEARD Ave,1
796,128 E GLEN Ave,1
797,128 ELMWOOD Ave,1
798,128 FAIRVIEW Ave,1
799,128 GERTRUDE St,1
800,128 JASPER St,1
801,128 JOHN St,2
802,128 JOSEPHINE St,1
